v1	v2	v3	v4	v5	v6
87.9	45433	17	76.3	17	1
87.9	55071	16	86	18	2
62.1	113159	16	87.9	16	0
78.5	30289	16	30.1	14	4
32.3	113159	20	63.5	20	7
60.6	55071	17	83.7	17	1
76.4	55071	16	78	14	2
63.5	37173	12	63.2	16	3
63.2	113159	14	86.5	17	1
36.5	37173	12	83.7	12	4
69.7	66085	17	86	18	1
87.9	30289	16	83.9	16	1
28.4	24782	12	53.9	14	2
93.3	113159	16	45.4	9	3
31.5	24782	11	39	12	4
86.6	113159	12	61.9	16	2
69.7	113159	16	97.2	16	1
28.6	30289	12	64.1	14	2
83.7	30289	16	63.5	16	2
63.5	113159	19	92.3	19	3
26.7	17898	12	29.3	8	1
52.4	13079	14	51	14	3
63.5	11702	16	76.3	14	1
50.7	113159	12	82.7	16	2
63.5	30289	12	60.5	14	1
62.5	113159	12	90.8	17	6
73.9	45433	20	64.1	16	2
69.7	24782	14	49.6	12	0
86.8	17898	19	80.3	18	5
28.6	20651	12	49.6	12	6
31.5	45433	12	64.1	18	2
28.6	45433	15	43.4	17	3
63.5	30289	12	44.7	17	4
52.4	30289	14	85.1	17	1
38.5	24782	12	38.7	14	2
29.2	20651	12	29.3	13	2
30.1	30289	12	35.1	12	0
30.7	24782	13	30	12	2
78	66085	16	76.3	16	1
35.1	24782	12	63.5	12	4
34.2	37173	12	86.5	16	4
31.3	37173	10	69.2	18	4
86.6	30289	18	44.2	14	2
31.3	37173	12	35.1	12	6
36.4	17898	6	53.3	6	2
32.3	15144	12	27.2	12	3
27.3	37173	12	74.9	13	1
48.5	24782	13	44.7	12	2
38.2	24782	12	27.7	12	3
65.8	20651	12	50.7	15	2
71.2	24782	20	80.1	20	1
29.8	30289	12	28.2	18	1
51	37173	18	75.2	16	1
48.9	24782	12	26.7	13	3
28.6	15144	12	37.9	13	1
37.3	24782	16	29.7	16	3
26.7	30289	14	29.2	12	3
63.5	55071	16	87.9	16	4
67	30289	12	46.3	12	1
32.3	66085	12	66.1	16	2
35.1	24782	8	32.3	13	2
73.3	55071	16	75.9	19	1
54.2	24782	8	45.3	12	1
83.2	113159	20	50.7	16	2
38.2	17898	12	38.2	14	2
62.5	17898	16	38	16	0
70.5	20651	8	27.7	13	1
85.1	24782	16	86.5	13	1
66.1	17898	12	78.5	16	2
85.1	77099	20	63.5	19	3
30	17898	9	30	12	2
76.4	77099	17	73.3	18	1
32.3	30289	5	26.7	10	1
50.7	20651	15	48.5	12	1
